S_i,A_i
27,99
59,61
77,27
28,21
79,43
11,61
4,3
36,18
23,22
85,99
54,68
86,45
71,81
78,6
37,17
79,28
54,26
49,17
43,72
59,47
45,44
47,83
63,37
89,82
66,88
16,6
56,10
6,50
42,70
76,55
59,47
72,21
9,45
18,60
48,26
88,47
91,91
32,67
74,48
9,85
93,43
41,100
29,54
99,40
35,69
73,22
48,88
62,36
72,33
10,84
88,25
23,67
100,61
30,72
29,69
56,28
3,31
71,55
59,97
95,8
2,95
3,39
79,92
48,100
88,60
27,94
41,92
16,14
74,43
10,64
79,6
95,57
15,99
47,95
48,78
20,45
84,23
87,100
42,37
3,96
24,68
87,32
87,15
62,38
16,18
44,47
31,65
85,58
81,44
29,54
85,3
44,12
56,65
42,51
24,65
71,14
15,78
15,27
13,30
85,73
7,13
44,39
86,80
96,47
3,98
24,29
37,9
55,54
87,16
53,68
6,97
84,16
87,49
72,45
95,47
35,46
5,5
15,54
78,12
86,72
79,63
81,70
87,31
10,15
49,96
92,10
25,1
70,29
95,21
85,58
85,16
42,44
81,18
69,2
66,57
13,48
41,14
36,20
54,83
65,44
81,21
52,75
41,92
66,64
98,75
65,29
82,95
63,63
17,3
38,62
91,45
24,30
13,10
20,43
33,55
14,57
76,36
39,31
97,50
94,36
23,33
1,83
36,97
15,35
63,8
79,33
7,87
92,76
70,59
51,23
12,65
100,37
77,59
41,86
46,85
63,99
90,6
10,85
58,51
84,24
84,80
73,96
66,88
75,36
51,72
17,62
20,82
52,61
19,44
86,10
5,32
25,49
49,89
60,64
66,57
74,18
37,22
20,58
6,1
90,75
67,13
77,32
67,45
75,12
2,99
4,70
18,46
37,81
33,46
63,51
86,83
47,38
6,95
83,39
36,68
80,22
16,90
91,54
37,62
66,20
59,21
33,26
42,95
52,92
74,22
99,74
53,15
86,94
59,66
80,99
97,56
9,61
15,94
47,31
39,61
79,3
29,41
17,72
12,84
63,79
78,75
8,50
23,16
88,58
45,63
88,98
88,40
3,47
86,75
55,5
26,10
67,60
65,41
21,66
93,45
46,92
11,21
1,26
15,18
36,9
35,84
38,70
2,36
69,97
85,54
21,23
82,15
52,76
74,80
49,2
5,1
19,74
26,59
87,8
50,16
95,17
53,35
17,8
47,18
11,52
65,50
73,64
78,13
77,27
19,53
3,90
77,85
4,31
14,6
84,96
57,61
72,34
19,13
23,30
35,74
51,94
19,77
38,31
67,7
21,2
41,32
86,25
30,71
55,57
11,67
80,34
73,39
8,23
82,3
67,12
59,73
55,37
59,1
74,63
68,12
34,36
100,19
45,56
8,51
36,74
69,98
21,56
81,86
13,91
32,14
35,45
85,48
59,11
46,42
2,29
92,2
16,48
32,80
89,94
67,14
55,46
3,9
25,8
90,77
53,21
81,32
99,39
21,51
57,26
56,24
3,91
38,93
94,4
18,79
34,75
25,25
18,100
87,96
77,59
49,53
17,42
15,40
66,92
87,73
88,21
23,52
33,60
99,59
6,71
61,40
39,80
91,35
16,65
20,72
31,95
60,40
88,83
9,17
40,81
61,20
66,33
1,67
85,92
76,65
53,95
55,79
44,99
97,32
67,28
34,85
60,47
91,24
35,25
30,48
29,94
16,55
42,6
84,45
70,86
17,43
90,25
78,25
44,80
63,86
55,46
35,39
34,42
6,23
32,49
32,40
67,85
45,12
87,19
28,11
19,80
73,66
75,87
55,76
16,49
76,37
62,12
8,75
37,12
12,77
20,34
35,36
20,6
2,100
75,47
37,56
76,100
20,71
78,95
93,10
41,91
87,94
57,42
59,6
61,58
83,52
6,84
81,44
78,64
89,1
30,34
36,4
28,35
87,79
37,86
52,20
64,89
85,21
7,54
33,10
78,73
53,72
18,64
69,63
87,65
69,63
80,71
8,50
65,82
41,43
8,21
65,10
