S_i,A_i
75,47
6,52
97,43
42,29
91,15
21,95
88,93
94,25
17,13
28,10
93,37
80,37
33,48
91,87
76,12
4,82
1,78
20,93
6,15
33,87
97,70
86,4
96,63
94,53
76,62
42,27
66,9
29,77
1,39
33,83
52,45
100,40
21,46
46,37
57,61
3,69
9,30
79,9
53,47
53,62
16,71
11,23
53,98
57,55
94,86
4,12
16,33
99,2
96,3
4,68
12,10
77,11
74,8
78,2
48,40
87,58
49,59
90,42
45,13
17,35
74,29
12,30
63,55
28,16
64,66
11,57
5,22
50,31
82,1
41,88
43,91
12,1
37,48
5,68
13,15
70,6
42,53
12,26
81,22
23,22
3,28
27,50
72,94
8,48
19,100
13,59
67,40
29,95
37,39
91,61
58,7
2,96
40,15
80,50
8,81
61,98
35,22
22,94
26,78
6,27
40,78
30,4
97,97
41,60
58,34
84,61
52,54
12,40
41,49
61,83
86,58
88,94
89,82
42,80
11,19
30,36
15,83
14,36
10,3
46,22
68,86
50,94
9,74
59,46
16,73
16,20
80,52
5,38
86,43
56,96
28,74
2,81
75,96
9,33
95,45
62,11
52,93
25,46
14,83
1,81
73,55
60,66
68,88
70,59
18,61
84,99
35,37
49,71
44,78
58,32
30,59
10,84
37,61
14,22
52,76
98,69
10,72
68,59
86,9
14,26
49,92
66,8
40,43
62,6
51,2
64,47
16,100
67,77
21,83
46,32
23,39
39,18
11,27
6,72
65,47
68,17
58,51
2,31
55,99
59,8
99,71
29,27
89,20
93,97
54,16
96,16
26,86
31,55
72,83
78,66
6,15
56,75
15,28
10,41
17,42
85,29
22,45
40,30
59,43
85,44
74,51
91,56
96,25
48,88
28,6
53,36
30,93
29,38
34,19
25,26
31,16
46,5
14,4
91,24
97,41
47,19
21,77
81,76
80,30
52,81
20,46
4,72
27,17
85,3
97,17
21,41
41,37
4,46
60,62
98,28
7,41
30,84
74,50
45,74
79,40
98,47
81,57
35,33
24,82
62,78
9,2
96,58
68,32
31,48
18,57
45,23
93,27
92,98
40,52
13,14
83,76
48,57
20,13
93,50
61,40
9,52
63,58
61,22
90,53
19,6
69,76
16,28
18,100
21,34
44,38
70,55
94,97
77,70
31,54
74,80
88,52
80,67
76,67
43,86
56,100
56,22
69,14
66,62
72,57
44,56
43,37
47,12
22,87
54,76
94,17
97,83
31,28
20,6
60,96
65,93
38,94
80,12
92,33
15,93
100,17
72,48
88,67
33,38
2,22
72,52
65,36
88,76
69,23
43,11
41,27
58,71
7,91
60,25
22,34
67,20
32,92
22,70
14,7
40,52
61,86
42,75
74,43
81,60
40,61
78,73
40,61
20,13
9,14
25,38
79,11
68,68
75,77
69,44
59,30
72,60
46,100
65,79
100,24
28,42
97,88
44,20
22,79
86,83
10,79
34,47
91,23
57,26
17,37
43,65
15,78
85,65
45,10
97,4
91,6
3,38
90,42
84,57
69,94
21,80
60,73
66,69
28,33
27,44
72,1
79,36
1,24
78,54
47,45
45,62
31,47
49,80
17,30
14,82
16,89
13,16
30,77
39,40
18,30
55,86
49,58
72,48
99,18
68,95
29,56
39,72
28,88
2,90
10,43
80,81
56,98
35,5
79,67
81,67
58,6
48,45
43,41
79,30
68,5
3,16
9,11
74,47
32,75
75,24
4,28
37,11
8,63
59,80
96,33
91,62
31,57
60,20
54,52
82,73
95,81
82,74
39,52
78,80
29,39
2,33
20,63
16,100
25,89
91,1
55,23
65,56
4,99
44,36
58,10
30,15
98,53
9,70
7,30
50,2
3,22
50,73
84,66
92,64
66,71
30,85
92,31
82,94
5,91
9,89
9,27
83,60
91,42
43,64
16,98
19,28
87,56
54,22
12,73
43,37
68,70
3,88
25,97
65,90
30,22
12,2
98,10
59,12
85,97
74,69
37,57
98,59
76,74
59,71
79,65
9,79
95,28
88,62
71,5
77,39
86,33
67,1
49,56
8,18
14,54
32,36
24,51
82,39
78,29
12,10
40,32
45,97
11,35
82,79
55,88
14,41
27,22
65,59
67,91
33,64
58,23
87,50
11,29
34,7
99,11
46,87
49,53
26,87
1,64
73,15
34,57
16,77
89,47
8,17
1,43
36,78
64,34
12,94
14,7
52,5
47,11
11,43
70,14
57,84
9,38
22,4
76,45
74,50
23,17
89,40
32,66
85,92
29,98
31,91
87,77
13,19
38,65
74,33
97,67
76,23
99,16
54,36
85,3
74,28
44,47
4,61
29,47
36,65
89,51
43,17
3,26
55,54
99,8
43,85
38,88
54,32
54,13
99,80
7,10
31,17
67,67
84,72
79,8
87,39
46,99
2,28
60,57
54,9
77,100
29,21
33,18
5,15
20,20
67,69
43,3
93,12
81,13
1,71
51,52
59,52
21,89
30,44
56,21
11,75
64,43
71,85
27,48
63,44
52,13
8,14
32,11
79,17
28,51
63,61
68,30
56,13
31,8
9,51
16,100
67,66
30,5
37,75
81,49
2,63
42,5
80,68
67,53
93,88
74,62
15,20
44,3
35,25
68,25
49,21
10,45
32,33
59,54
51,58
95,25
85,32
31,84
87,34
65,57
26,21
97,80
58,38
95,10
23,86
57,39
24,41
97,94
50,45
7,15
92,29
19,72
84,76
64,10
66,2
53,48
41,45
96,16
68,62
54,52
86,8
66,48
33,54
72,70
31,56
93,38
31,63
38,41
89,100
100,29
84,72
38,34
2,86
47,51
49,95
51,36
22,96
93,65
10,17
71,11
40,17
12,20
82,79
41,4
44,69
7,16
19,2
34,16
64,72
58,69
29,91
26,35
50,43
41,24
68,6
48,26
44,25
91,98
9,98
80,79
51,20
10,78
83,91
4,92
58,7
65,41
41,79
18,90
57,47
78,87
67,97
48,86
24,56
33,99
29,10
37,87
58,70
8,34
37,26
5,68
23,28
12,52
27,65
30,100
34,66
55,15
10,22
44,79
18,64
97,28
7,96
20,76
61,74
76,43
3,98
75,11
41,83
37,46
14,92
84,33
86,25
7,53
70,29
87,80
38,15
