S_i,A_i
43,29
65,98
39,69
38,27
9,68
1,55
53,20
46,31
83,68
13,89
18,82
94,40
75,43
91,10
100,93
75,51
80,18
45,61
39,5
71,55
26,57
48,73
20,98
22,58
95,8
41,64
76,91
61,80
42,32
65,93
31,41
8,16
19,13
2,75
71,53
23,100
14,73
11,29
97,45
54,82
41,69
86,94
80,99
61,36
76,48
21,47
83,25
26,7
58,68
88,38
28,28
35,77
71,16
69,11
30,12
84,69
23,73
99,98
8,79
100,26
70,83
35,37
51,68
64,76
59,67
82,2
34,49
32,95
42,29
14,95
28,34
29,23
33,23
47,17
53,95
83,5
27,66
58,57
88,14
22,50
99,31
59,74
69,17
14,83
67,87
51,29
79,12
84,3
76,75
11,42
93,78
67,92
74,98
53,17
20,24
38,33
12,96
8,57
90,73
80,11
91,29
25,8
29,98
71,54
21,26
59,53
80,22
54,15
44,62
90,21
83,7
74,90
81,37
33,15
49,33
16,71
53,81
18,59
75,74
94,58
7,31
86,21
89,76
42,86
86,73
53,100
81,75
28,83
12,13
8,84
84,50
9,10
79,34
23,73
82,3
42,95
43,27
51,34
96,99
92,78
100,81
86,73
75,57
32,56
2,32
56,71
49,81
38,40
90,22
91,14
9,39
4,42
86,38
8,10
30,2
34,96
12,48
71,22
65,52
71,51
65,10
29,56
43,25
88,8
93,40
85,43
93,88
49,38
95,98
2,17
12,1
58,90
47,59
97,90
42,54
74,16
54,35
96,21
11,50
55,98
32,74
28,86
53,42
77,88
2,66
68,59
34,76
74,75
24,39
90,23
45,47
17,9
62,30
66,20
64,69
58,42
17,85
91,97
32,5
39,24
67,48
60,87
81,51
28,63
95,71
19,2
73,93
3,68
14,50
35,8
72,15
56,56
57,62
39,21
71,58
2,17
49,79
80,90
20,8
57,85
61,28
51,62
2,48
27,46
51,88
92,54
64,91
34,87
85,62
4,31
52,72
32,71
70,38
42,13
23,80
12,35
23,5
8,9
15,48
63,59
67,97
79,39
95,6
11,53
100,67
20,35
6,18
15,81
71,1
28,4
84,76
44,19
79,38
88,26
25,18
100,4
72,85
95,30
84,84
53,44
79,15
74,4
15,56
94,65
1,12
90,13
23,58
9,20
73,75
74,52
93,20
90,66
73,48
35,65
32,31
29,91
12,8
31,18
70,10
96,46
46,26
50,17
24,17
5,26
27,71
19,32
85,66
5,39
11,64
88,43
35,15
51,86
21,65
7,34
45,20
77,50
64,32
21,24
27,73
50,63
31,43
83,16
82,7
56,68
9,94
66,71
30,66
47,87
76,45
21,15
9,64
85,90
86,70
95,85
2,34
67,52
60,69
31,27
55,39
74,1
15,67
63,47
37,16
46,48
59,6
6,84
97,42
61,10
63,76
29,67
56,79
57,43
33,33
38,89
55,14
68,74
21,99
48,51
16,16
17,99
9,32
96,69
78,28
78,55
88,89
44,7
14,63
74,92
93,58
29,79
8,7
98,76
95,81
10,24
88,56
54,37
94,47
52,3
97,17
81,82
49,17
40,13
18,98
11,100
48,79
75,99
63,57
89,29
58,97
100,78
84,80
12,71
64,10
69,94
51,17
34,63
49,61
91,26
32,56
5,74
23,34
77,51
1,64
34,2
36,68
89,90
42,30
48,84
17,49
65,7
64,86
81,83
20,52
73,80
23,79
21,49
41,90
24,36
63,43
58,74
35,59
29,54
87,32
13,88
96,74
99,62
97,72
60,3
75,32
7,67
45,66
48,83
91,9
1,63
32,15
18,92
39,49
25,71
14,63
49,65
91,36
54,76
40,58
33,63
41,79
25,24
52,78
96,38
96,50
9,40
82,32
7,69
37,14
90,37
18,26
85,26
33,51
21,5
25,4
83,9
46,99
97,80
32,34
9,74
23,45
63,61
75,71
66,9
42,66
39,80
66,24
46,33
38,25
77,12
83,59
9,29
86,90
16,69
100,26
82,67
32,89
70,55
84,61
5,62
53,82
73,94
24,6
23,40
30,48
25,82
15,44
6,1
47,40
29,18
66,70
100,31
45,22
13,92
42,58
57,100
21,15
70,44
30,12
85,66
25,63
1,42
19,38
31,39
18,92
98,69
55,29
86,35
58,70
63,69
31,23
5,65
33,60
18,65
42,43
60,42
99,11
1,65
25,51
83,12
48,53
44,94
79,86
2,22
40,99
1,32
36,40
38,62
28,18
15,49
69,40
66,63
36,70
13,18
71,42
80,50
57,53
21,28
94,29
30,29
79,89
94,71
5,87
65,77
62,51
30,87
21,34
15,3
21,37
15,22
32,66
89,41
84,32
50,31
19,90
60,46
15,47
33,93
41,80
16,51
76,81
57,46
56,33
86,70
83,27
89,5
33,93
12,65
14,84
48,25
9,59
30,19
44,13
93,48
9,95
60,26
19,74
49,96
65,59
56,41
25,92
55,56
64,2
57,94
12,41
54,84
78,99
3,35
44,35
5,25
57,13
29,11
40,92
53,68
53,61
39,6
23,61
44,87
7,3
47,42
36,58
57,79
100,35
31,15
28,59
11,33
63,8
1,16
47,8
33,56
53,37
1,82
59,91
26,82
93,45
78,59
37,40
59,59
52,69
23,15
74,15
94,9
21,5
17,27
78,91
87,65
9,13
46,1
80,74
20,94
100,85
92,17
48,16
75,53
87,62
21,59
53,12
70,20
65,44
9,93
66,96
14,36
52,33
21,64
85,52
100,87
70,87
9,59
50,74
78,10
75,42
30,88
46,81
12,98
31,14
57,14
2,26
88,58
79,2
14,11
68,6
89,12
38,9
10,58
24,72
71,21
92,41
48,73
66,16
22,56
61,4
72,84
8,58
21,6
3,64
11,88
2,94
75,59
8,35
70,100
57,32
22,19
70,62
40,24
55,39
36,92
17,67
46,51
19,9
6,41
99,30
100,12
65,61
67,14
44,37
31,100
59,48
6,69
27,81
64,73
17,25
68,89
54,65
39,54
85,72
67,13
54,8
74,80
15,64
54,18
51,77
54,95
85,89
66,76
21,23
15,53
8,13
8,75
65,58
7,48
10,76
21,46
86,65
13,92
17,22
67,49
39,43
51,58
83,29
8,39
86,54
19,50
2,43
24,14
10,48
36,51
54,61
96,24
44,3
69,78
79,76
93,78
18,74
3,2
65,74
5,33
10,8
23,50
80,73
5,39
82,16
50,10
98,58
71,100
65,23
77,21
42,16
76,18
22,12
93,26
34,13
24,3
18,67
71,61
98,10
75,15
36,35
11,11
26,15
89,35
72,67
89,47
98,20
88,60
49,91
65,92
27,42
67,39
89,91
99,26
4,44
2,68
63,61
22,22
34,64
98,3
29,97
14,82
90,8
34,92
8,7
25,73
79,72
47,73
68,33
96,59
88,6
88,34
78,90
94,87
36,75
42,62
42,91
15,17
61,69
6,97
71,39
15,64
100,12
23,7
73,31
33,53
65,19
68,92
8,32
96,2
36,59
94,83
11,70
19,10
85,85
21,17
51,44
58,36
19,35
13,51
11,97
65,72
93,74
65,51
30,80
72,56
13,1
65,43
84,92
15,37
93,96
69,8
14,16
39,14
39,36
77,49
34,47
65,23
82,89
52,52
47,40
64,28
55,46
29,16
15,58
6,97
72,88
19,26
75,10
77,13
70,14
26,54
68,76
37,46
5,26
69,83
95,66
47,72
9,35
55,55
8,25
59,3
84,75
48,87
26,29
33,38
45,82
86,1
32,17
53,29
32,35
56,83
77,78
54,100
62,56
60,24
2,78
99,16
79,83
53,99
44,4
45,34
7,94
46,27
17,54
73,25
36,20
40,56
72,5
65,35
26,56
82,47
27,11
2,54
89,26
13,64
78,36
14,23
19,58
27,55
82,74
67,86
6,29
73,8
22,3
87,30
41,68
74,49
1,5
57,45
36,89
14,43
52,48
45,34
97,52
16,79
53,12
64,17
46,44
4,26
48,25
31,23
90,69
91,73
73,73
12,64
78,18
3,83
24,62
46,98
41,21
71,35
38,37
90,50
16,5
96,41
49,62
39,100
19,64
4,18
2,90
53,28
25,14
48,97
56,52
6,87
66,82
33,97
67,41
24,66
77,23
89,97
83,100
50,62
33,52
38,58
11,9
46,92
89,96
47,34
33,94
84,24
41,55
21,40
15,76
100,60
93,63
56,68
35,46
41,65
17,49
49,14
71,85
62,87
50,76
52,53
40,90
28,60
20,79
37,72
4,74
90,64
29,78
53,9
42,98
65,50
21,63
13,80
22,72
15,27
35,59
22,88
97,75
2,65
93,69
28,61
22,27
35,3
30,9
54,32
83,17
37,64
32,31
52,51
38,29
94,58
12,6
28,40
62,79
100,10
34,69
14,18
2,24
60,42
2,69
36,32
55,6
64,57
68,13
70,84
14,19
99,6
77,87
94,52
70,13
89,12
10,5
43,42
46,55
36,78
75,100
36,45
85,78
66,75
47,6
90,81
50,86
11,41
44,41
37,62
85,63
57,45
96,12
77,61
55,84
46,97
76,50
9,48
74,52
23,94
26,69
37,44
8,70
95,22
1,100
78,1
92,36
20,94
70,33
17,15
52,27
67,37
88,58
80,32
67,52
17,45
40,64
83,40
29,89
3,62
84,89
10,92
58,59
51,92
84,68
64,83
61,97
62,81
35,7
50,17
38,20
73,66
10,88
57,17
28,10
87,71
59,61
33,4
51,93
76,13
81,48
51,8
54,26
74,49
73,50
98,4
73,81
50,47
96,46
1,5
96,56
27,91
44,67
76,53
65,31
4,68
23,61
11,97
90,12
50,30
84,48
3,25
62,67
98,7
28,84
10,38
31,2
60,54
50,80
10,90
37,31
40,86
99,86
62,18
30,7
27,81
76,47
99,97
98,26
58,68
28,8
71,38
2,62
81,55
95,26
59,83
69,34
43,41
19,97
97,4
76,66
28,28
100,63
52,89
73,31
25,63
57,38
44,67
91,35
53,3
66,32
69,63
40,84
7,27
93,29
11,38
88,34
62,78
83,12
25,71
15,10
56,82
39,44
31,9
90,79
3,60
63,55
73,72
32,39
31,9
63,69
17,36
81,6
12,24
67,89
21,24
33,92
23,35
86,27
53,54
83,26
22,99
38,95
68,85
29,93
79,90
20,73
68,65
92,46
49,45
75,23
52,92
34,13
73,34
26,32
68,93
68,18
44,30
24,17
72,4
78,83
89,75
27,44
52,58
44,67
82,59
17,3
88,56
59,87
58,42
43,44
81,82
27,27
66,47
51,80
88,2
53,6
18,4
28,64
44,73
88,100
53,74
74,17
43,34
74,68
73,14
17,81
23,17
61,85
52,50
51,34
99,38
48,2
15,79
43,5
4,54
76,44
10,9
33,64
36,15
58,84
38,16
32,96
53,29
72,72
97,19
62,88
77,68
97,84
90,56
9,22
16,96
26,29
66,70
12,82
69,18
96,78
16,17
43,62
97,16
67,12
87,63
42,73
82,55
2,5
51,47
22,59
68,60
49,75
1,79
61,54
44,61
16,20
34,68
36,2
84,80
81,56
60,49
87,60
92,28
10,80
10,4
86,80
17,15
7,61
41,45
83,24
91,97
15,18
65,28
93,45
58,85
20,91
67,83
29,18
17,74
72,52
56,85
54,32
5,26
83,52
10,69
43,90
81,11
90,81
26,53
90,36
33,21
26,88
64,56
12,57
9,78
7,64
47,38
24,43
37,93
5,50
53,61
98,63
5,43
18,59
25,5
1,41
69,30
72,8
28,50
73,85
72,57
36,63
59,72
