S_i,A_i
35,37
85,2
18,65
61,63
55,16
8,31
65,38
11,78
56,83
1,43
43,40
30,30
44,20
7,6
46,17
79,6
23,51
72,18
42,5
82,40
56,78
18,93
36,18
99,69
35,98
47,74
13,85
77,91
65,11
7,9
56,3
84,6
88,62
38,52
38,96
22,50
80,91
69,55
43,48
71,98
86,94
83,92
68,16
95,28
99,85
13,26
45,73
2,99
88,99
67,7
45,26
16,94
23,33
45,40
30,59
37,83
98,36
78,4
96,34
86,55
10,7
70,88
43,96
73,87
95,97
48,69
97,62
2,75
24,43
66,90
53,11
28,100
51,19
93,68
45,83
95,85
6,14
12,44
68,6
31,53
43,17
66,78
18,31
70,76
65,82
37,61
18,37
65,60
6,81
42,21
94,22
41,76
27,40
44,3
78,35
99,16
44,49
88,100
33,66
85,73
36,67
25,89
81,48
67,25
39,62
40,96
19,27
4,59
29,6
2,18
79,83
72,64
10,2
48,48
23,94
73,55
7,86
46,20
11,55
86,36
94,78
90,5
94,36
45,60
44,74
13,98
83,98
74,45
31,50
39,34
4,42
81,97
32,60
11,29
69,95
56,12
10,11
62,73
99,67
85,91
83,65
20,8
90,17
54,33
32,57
85,56
75,85
88,74
32,88
55,49
68,43
4,63
26,70
97,97
18,33
26,80
12,11
69,7
34,6
59,2
85,68
15,69
36,90
84,81
61,32
94,96
58,30
26,36
47,99
70,67
44,14
52,13
39,4
67,90
39,21
88,16
27,40
15,96
31,35
31,47
40,1
18,82
21,25
84,9
92,92
65,55
46,10
44,35
8,8
6,44
41,32
42,53
1,49
15,38
5,79
43,81
54,24
83,7
6,11
88,11
79,9
88,36
1,26
34,34
95,89
41,100
31,78
9,34
30,19
83,100
14,62
99,18
22,20
84,41
11,1
54,54
82,89
90,6
43,2
16,33
20,4
89,66
85,2
51,78
52,62
20,44
29,28
50,78
51,72
40,68
99,2
35,24
64,61
61,96
90,84
16,79
28,94
80,55
2,89
73,62
55,1
83,51
39,52
20,32
66,50
49,39
94,26
12,13
18,46
42,50
71,51
31,18
17,83
97,30
26,41
17,75
69,28
83,41
86,55
74,27
52,31
93,36
6,40
25,67
50,11
67,27
57,32
5,56
79,17
97,7
93,27
38,57
69,2
86,81
74,79
8,53
45,9
47,29
40,77
75,40
12,31
88,5
41,7
54,19
3,100
57,41
28,96
38,80
98,47
47,53
31,2
75,36
71,45
33,26
38,95
87,90
39,38
44,62
5,42
85,94
42,54
63,79
44,91
79,73
23,77
24,30
86,71
26,26
52,26
81,28
59,62
80,44
64,12
97,41
64,51
29,19
78,4
20,87
91,15
36,91
63,78
23,76
20,20
26,6
11,24
10,6
90,54
10,75
82,41
58,75
48,31
16,39
86,62
43,12
23,85
49,10
58,22
75,94
39,17
21,46
41,65
77,99
3,63
36,8
17,11
10,15
86,46
57,54
2,91
40,97
37,48
45,5
46,3
74,54
85,97
57,81
88,15
55,43
80,28
25,3
16,8
51,52
50,48
10,2
87,97
73,12
46,8
75,86
18,96
46,45
16,18
24,51
22,51
86,46
96,21
29,24
92,26
27,23
86,37
86,14
78,43
42,51
19,81
28,42
88,55
98,23
6,26
21,11
91,2
55,23
4,65
26,53
10,63
19,66
50,2
80,27
20,60
79,90
59,89
18,38
84,26
20,23
13,4
61,76
19,45
11,97
41,45
22,41
13,17
75,3
68,91
41,78
28,83
61,97
11,59
98,76
24,1
20,42
13,53
67,36
39,5
21,73
52,78
30,45
30,79
86,47
43,34
68,45
91,99
100,94
22,73
39,57
38,56
16,94
50,96
88,71
69,53
1,3
92,87
65,24
40,51
24,6
88,53
98,64
91,23
49,9
15,8
50,33
68,54
43,69
55,73
82,88
45,4
22,85
17,55
59,66
37,26
85,25
43,37
78,14
30,56
92,29
48,94
30,68
32,69
2,48
8,17
25,40
45,24
16,65
44,87
90,59
15,15
93,7
4,16
20,39
89,25
53,60
76,27
72,7
18,14
4,9
23,5
19,12
28,24
18,100
87,69
18,8
82,4
69,99
25,2
57,24
24,14
76,37
69,57
77,16
12,60
54,55
67,45
73,17
91,96
75,6
36,51
87,42
50,52
15,21
83,90
80,2
93,17
61,38
56,88
8,16
2,61
37,71
93,50
64,75
80,69
34,62
98,55
75,83
75,49
98,79
26,53
88,42
66,76
95,22
65,49
53,51
61,1
29,71
81,32
74,12
88,65
39,7
39,29
86,20
23,3
19,29
6,55
82,31
3,45
97,75
7,25
50,83
74,34
31,69
49,3
27,73
46,39
97,57
74,52
83,56
34,77
21,45
18,65
19,91
29,95
95,95
20,94
68,30
51,20
1,64
82,20
97,88
33,94
26,62
95,31
100,36
90,20
50,33
69,56
45,44
40,74
5,75
51,29
62,52
90,50
48,69
17,27
61,100
50,67
46,66
66,60
86,9
5,23
99,38
56,32
88,2
68,33
55,87
21,33
7,62
59,4
78,26
24,49
57,93
60,71
98,49
54,29
67,15
90,2
39,17
74,23
37,77
85,17
20,100
43,93
2,88
46,9
44,29
47,25
26,75
87,41
62,3
60,100
2,95
37,15
48,88
40,29
23,56
82,66
67,36
46,31
46,78
53,1
41,62
33,82
81,2
20,17
74,9
95,13
60,40
70,33
80,22
62,28
78,13
80,69
42,29
12,61
67,76
65,51
13,94
38,71
80,35
39,77
36,72
15,46
88,99
71,66
35,69
92,67
27,9
73,6
86,5
23,30
79,18
12,82
65,10
45,79
59,1
20,19
67,47
12,66
59,69
80,30
42,74
38,26
13,89
71,41
35,67
82,37
55,26
9,18
73,13
85,28
2,63
1,22
17,17
23,38
51,74
88,41
79,75
49,74
17,65
19,5
49,15
72,31
5,69
95,94
26,30
70,72
41,77
67,70
23,100
77,43
95,7
44,67
45,14
61,24
98,5
21,90
36,29
49,52
11,5
49,62
40,76
45,19
4,54
13,7
69,89
48,37
6,18
59,56
79,71
7,59
14,94
19,38
15,47
43,50
10,69
5,23
20,4
9,65
39,99
40,22
24,61
23,91
40,63
56,42
10,69
88,100
37,88
13,71
99,39
95,36
50,14
57,21
94,10
33,18
59,21
37,44
68,31
80,15
58,100
32,94
88,72
52,91
90,76
32,40
24,71
8,59
11,42
28,89
30,71
80,52
34,93
79,72
42,71
98,85
75,52
75,6
81,92
89,38
33,84
46,43
75,34
73,45
67,23
43,97
83,93
99,74
80,34
20,78
92,25
9,12
19,70
46,34
11,99
30,96
25,33
88,9
42,73
66,64
85,34
72,28
10,55
27,47
48,75
39,66
23,66
29,62
70,25
66,82
29,86
21,14
34,92
38,86
1,35
23,12
86,73
67,58
35,30
88,72
16,27
26,18
23,44
56,4
37,38
36,37
45,15
9,17
1,73
73,21
64,38
72,8
89,95
73,22
23,58
86,56
37,56
12,27
62,86
58,48
19,87
99,99
56,66
17,88
23,31
41,24
18,27
28,57
65,12
35,13
3,61
53,96
13,14
56,65
52,88
37,92
35,31
89,72
56,55
79,33
66,70
95,82
99,26
3,60
34,64
68,84
48,43
61,55
82,72
14,83
83,88
31,37
33,3
52,85
79,42
50,91
21,89
84,46
42,97
9,11
4,14
82,93
8,61
84,5
34,87
37,73
51,34
95,29
63,62
86,39
32,42
64,69
10,26
70,17
100,12
29,38
88,24
54,44
71,75
14,34
82,83
50,16
88,60
91,90
56,3
45,82
3,96
28,40
75,70
52,31
10,94
33,61
26,92
24,89
72,18
25,4
56,7
65,79
91,100
47,70
84,84
27,7
34,98
39,42
87,22
3,78
53,99
49,10
3,100
64,21
71,17
17,99
93,60
73,43
34,9
93,99
12,75
96,67
80,55
87,49
53,73
31,57
8,43
73,7
30,61
82,73
16,27
89,15
56,5
89,75
