S_i,A_i
64,94
19,8
94,17
91,12
96,80
15,67
46,51
53,53
93,47
39,47
100,98
31,91
29,80
42,92
7,42
22,75
54,19
44,55
54,27
3,37
83,59
72,99
81,67
8,82
59,10
94,21
17,70
3,68
72,99
96,3
38,34
100,60
65,27
62,17
76,40
28,1
11,28
57,8
46,27
11,83
30,3
42,2
19,13
99,23
73,49
45,72
84,66
14,38
56,48
68,1
80,99
99,20
45,69
98,15
17,68
93,61
42,60
1,16
99,2
43,4
61,75
84,20
66,33
47,84
46,32
53,64
26,65
98,1
67,75
47,54
45,77
10,32
35,84
91,60
91,85
20,6
69,5
43,39
62,15
96,72
92,54
53,35
42,78
68,3
86,11
8,94
21,13
62,39
34,34
82,50
80,67
6,7
35,54
6,95
85,97
3,79
63,89
41,2
13,58
45,82
14,25
28,2
93,77
30,82
22,31
51,85
42,65
14,75
6,91
99,37
65,17
66,78
84,79
30,5
15,55
71,42
6,51
88,99
4,97
77,10
17,15
18,52
82,86
4,63
79,17
45,22
95,66
61,58
42,30
62,53
26,7
55,6
42,4
30,64
20,10
85,86
18,1
39,68
59,68
50,69
65,12
52,44
49,49
95,8
35,52
18,9
10,45
70,71
24,84
22,20
11,79
34,97
87,100
51,69
97,89
61,27
49,81
69,100
42,5
68,30
26,19
41,19
23,12
84,65
6,6
8,46
91,69
99,13
41,76
8,82
18,18
82,78
59,22
66,39
9,77
54,18
16,6
9,18
15,65
33,58
43,42
36,56
16,53
88,91
89,100
64,65
62,52
64,40
53,65
97,56
42,84
88,96
31,53
76,50
59,18
32,14
76,76
91,35
43,7
87,100
55,96
57,31
78,65
32,66
57,29
74,71
44,43
65,91
74,98
22,12
49,13
41,57
28,62
77,47
40,89
32,9
25,24
69,80
72,35
19,40
91,27
21,66
46,34
59,80
25,68
23,94
84,27
40,82
87,80
37,84
75,65
39,73
37,15
73,21
87,34
77,11
70,68
39,16
94,44
72,57
36,7
64,62
51,84
82,97
81,42
89,85
17,36
81,64
49,38
19,30
5,33
73,70
43,85
25,62
33,98
7,60
56,70
87,36
46,60
76,87
50,22
52,45
10,80
88,37
99,53
82,33
5,61
81,95
37,88
19,5
65,4
11,11
56,36
31,97
84,51
89,68
90,10
30,38
75,6
3,44
9,62
53,42
83,99
60,9
75,57
31,82
67,55
9,24
25,24
29,25
99,10
87,31
22,78
39,46
24,7
62,21
37,8
36,83
60,66
92,78
58,5
35,77
42,34
82,38
62,72
99,89
22,82
22,64
2,55
34,53
58,2
88,39
87,60
42,65
61,50
45,54
79,2
82,65
44,7
70,3
64,44
52,94
89,6
28,10
44,70
4,66
13,65
6,50
30,16
87,41
23,88
3,47
43,46
70,48
58,9
31,72
9,98
95,83
95,9
28,36
93,61
99,45
59,47
54,48
64,29
99,78
29,69
51,55
6,3
36,15
20,27
72,56
7,6
25,56
97,4
85,98
52,32
60,63
20,47
70,54
54,11
64,19
1,15
29,12
86,25
45,50
87,38
45,73
17,26
1,81
79,83
38,82
61,38
6,35
97,72
89,3
4,34
65,36
74,49
88,20
3,49
28,18
93,34
97,56
90,94
71,25
44,10
22,17
56,70
97,67
4,32
94,66
1,22
63,62
42,50
16,21
62,58
89,95
1,42
99,12
96,7
30,54
20,70
45,89
87,60
41,4
8,51
15,99
96,55
33,6
17,79
76,35
88,2
80,71
18,84
39,22
29,28
41,47
90,81
2,9
29,63
24,7
66,74
100,99
94,96
93,62
99,27
34,27
70,22
19,83
79,39
94,34
55,90
32,75
68,92
8,97
25,34
10,34
46,27
10,4
11,81
2,91
42,84
49,34
64,45
43,92
9,47
9,16
24,34
53,53
76,35
11,27
74,20
89,2
42,59
10,23
85,50
52,71
9,62
19,1
97,58
18,32
83,90
26,43
74,93
34,52
37,20
85,61
75,94
27,89
42,26
48,84
62,71
74,46
26,63
75,60
12,4
3,50
23,61
44,51
94,73
41,40
60,1
92,23
51,18
22,68
72,12
5,23
12,39
64,98
57,11
28,62
59,8
39,53
97,62
49,89
79,15
56,7
70,82
32,43
77,67
54,41
44,76
48,11
24,87
55,19
28,43
100,53
40,53
64,32
40,15
68,81
44,4
74,100
3,55
17,99
89,16
72,4
43,39
77,17
53,24
34,57
90,18
99,69
55,20
69,73
90,71
36,75
21,37
22,29
