S_i,A_i
73,50
1,72
15,76
23,45
7,85
31,40
64,56
4,59
51,99
62,78
93,57
60,71
19,20
36,42
51,82
92,11
47,46
13,24
32,96
94,99
16,66
83,81
61,92
66,44
25,33
59,96
85,43
97,88
73,49
15,61
77,60
19,38
63,56
87,9
100,84
11,43
4,53
98,46
49,80
2,78
87,47
77,48
83,90
75,7
66,81
44,49
29,25
41,54
16,89
75,61
29,76
53,65
10,24
4,9
86,81
99,86
47,80
98,87
4,89
7,77
15,88
94,34
27,29
39,57
56,77
73,89
13,15
26,11
5,44
26,30
68,55
55,69
88,89
38,57
3,63
66,14
88,95
5,39
21,22
28,70
79,80
31,48
34,86
12,8
61,68
21,8
8,59
44,49
6,16
53,14
98,80
25,12
14,64
86,45
98,89
49,7
24,97
35,2
84,85
95,33
48,43
95,63
57,78
69,75
5,80
67,66
6,90
44,82
79,72
2,99
4,96
12,20
74,3
8,7
47,57
87,44
29,29
16,38
19,74
66,30
15,82
51,19
14,63
10,73
31,45
28,98
61,53
88,3
23,72
39,91
48,94
16,31
11,32
32,18
74,32
57,93
54,8
85,12
81,28
89,70
69,74
54,95
84,65
54,3
87,67
46,24
97,12
76,56
45,29
75,34
35,74
19,44
98,4
68,92
66,59
84,59
53,21
86,37
11,82
70,54
62,95
50,80
41,2
73,89
10,81
71,41
37,53
71,100
87,27
36,42
86,60
94,47
46,49
89,39
98,80
83,16
74,27
64,62
4,98
58,84
82,32
74,40
52,33
46,9
88,94
59,33
51,65
30,70
65,74
91,30
56,24
30,66
47,69
1,48
61,13
42,73
40,96
93,14
84,66
45,87
50,98
59,37
39,91
85,50
81,70
42,76
44,14
80,44
6,93
36,79
15,51
47,32
82,90
31,62
1,69
98,71
73,74
64,78
32,43
91,60
95,52
40,92
81,26
100,15
72,92
84,88
60,36
32,3
56,37
77,53
59,20
32,54
12,11
13,69
1,83
6,82
59,31
95,13
42,30
64,6
82,6
32,88
53,19
97,33
24,98
40,63
95,31
86,88
49,44
83,54
82,78
46,20
10,50
66,91
13,84
5,44
65,48
12,43
25,2
37,62
91,97
66,47
23,92
80,32
17,28
53,30
87,88
51,54
26,87
46,30
77,48
46,66
84,65
63,50
54,98
12,71
83,61
74,94
35,28
56,49
68,44
35,49
95,96
25,48
13,69
38,45
56,95
83,12
49,39
30,37
57,89
63,54
41,32
69,63
72,86
72,22
64,28
40,38
5,36
90,86
89,97
65,78
12,57
23,14
10,47
92,66
58,36
56,57
40,18
5,93
32,2
1,94
37,55
9,7
27,11
22,17
91,84
58,62
33,3
12,100
39,55
63,69
11,35
23,78
71,61
14,30
65,39
13,29
37,45
69,60
23,43
43,65
55,63
62,25
100,83
20,76
79,56
89,79
95,41
31,82
40,12
53,33
87,82
10,98
38,6
54,32
85,56
47,11
67,49
55,51
8,39
54,72
83,95
11,61
94,29
30,69
69,94
49,83
78,97
35,66
33,16
49,84
75,30
29,57
18,53
12,16
3,95
78,53
88,5
41,26
48,78
70,34
12,83
21,66
11,10
23,48
76,29
53,65
59,7
52,90
27,6
73,44
15,78
94,83
49,70
89,93
18,95
83,86
12,5
35,25
3,49
64,63
38,26
27,16
7,23
9,2
68,48
43,41
58,8
54,57
20,34
88,54
68,100
72,93
78,73
41,22
56,66
74,35
85,42
31,1
40,32
27,98
61,7
55,59
63,80
1,39
30,36
61,88
46,9
95,61
19,26
4,53
55,9
43,38
86,82
19,6
29,42
36,61
39,15
24,72
5,7
86,67
10,19
86,77
29,73
76,15
78,5
4,88
75,96
65,16
76,91
61,9
37,39
75,17
87,99
52,31
83,12
83,15
34,15
7,68
100,24
29,86
51,97
90,95
83,93
10,16
70,97
39,65
70,7
87,82
14,93
32,36
27,94
55,46
62,86
12,10
81,86
85,13
7,6
16,17
64,79
57,51
67,20
72,45
100,49
50,45
19,52
35,9
30,32
16,28
83,53
