S_i,A_i
81,88
72,87
47,39
44,30
58,34
28,50
62,66
21,86
89,80
76,9
5,28
26,2
64,72
72,34
100,26
95,69
87,25
5,22
77,71
46,71
76,32
71,96
89,23
34,88
2,88
65,97
72,43
97,39
64,71
34,8
91,53
89,45
33,6
22,38
31,70
79,1
53,80
17,33
74,48
71,2
20,48
53,18
86,46
88,75
31,54
50,52
76,62
69,9
91,99
91,72
9,37
90,97
27,34
83,76
78,46
99,70
81,37
80,26
87,42
9,22
6,88
83,77
9,2
68,42
64,6
1,6
59,86
54,58
66,39
36,13
41,31
62,90
83,61
81,42
91,23
70,67
81,66
37,81
26,63
52,79
20,67
91,8
35,52
18,72
63,15
27,72
66,86
72,37
96,24
14,25
73,79
37,60
59,27
7,39
56,37
15,34
37,82
46,86
8,28
65,13
11,54
5,25
19,87
18,43
40,92
84,60
14,97
86,88
78,62
61,59
13,56
14,13
77,16
30,91
1,93
22,33
76,4
60,73
67,88
53,49
20,10
8,87
54,59
50,56
87,19
51,26
59,5
62,73
51,26
90,80
40,55
26,10
73,96
19,61
5,72
46,23
28,54
16,26
82,23
47,92
82,86
89,27
75,86
22,55
84,41
73,11
36,93
27,7
67,30
7,99
33,95
12,12
1,64
71,10
14,89
31,82
66,84
30,46
3,83
83,55
14,6
1,48
49,39
49,34
14,8
19,44
99,27
94,26
100,95
78,55
67,89
67,44
70,56
73,54
58,98
72,49
12,100
55,29
98,7
95,86
31,89
71,68
54,45
68,90
34,17
69,86
88,52
34,14
42,58
51,16
8,5
65,60
94,85
51,78
90,74
16,49
3,2
43,58
32,68
57,35
79,9
55,78
15,47
44,45
74,71
96,18
4,11
35,96
44,15
41,55
50,20
30,25
100,3
92,79
12,99
1,52
87,87
45,8
56,53
35,30
62,46
51,100
30,57
91,83
40,28
34,75
53,94
87,1
58,76
80,39
67,82
1,83
28,44
81,99
43,96
17,7
35,50
22,67
67,69
1,87
24,97
63,43
92,64
46,46
18,39
6,32
49,7
63,72
46,38
5,16
27,41
37,6
49,39
66,92
70,34
50,96
18,53
77,5
19,3
90,38
73,74
98,66
28,25
19,85
72,50
61,13
100,28
89,49
62,74
15,94
60,18
8,52
71,12
80,35
46,10
21,88
9,41
69,4
44,56
25,5
74,47
87,12
68,66
20,61
9,44
41,75
56,65
8,2
40,37
10,38
94,74
1,91
23,34
16,81
24,29
16,81
86,45
100,29
35,9
49,26
83,77
4,31
64,96
40,32
24,7
92,32
46,91
47,64
20,47
83,2
93,31
98,71
76,18
30,22
66,55
4,63
47,2
21,100
14,13
38,83
18,35
87,84
2,55
86,58
63,86
78,69
79,15
63,71
33,65
86,12
9,84
54,74
96,75
40,99
8,96
45,53
45,31
75,61
99,64
37,96
99,36
14,31
13,35
15,16
76,95
32,59
52,65
36,90
12,6
80,71
10,8
58,23
67,37
10,12
3,63
87,74
91,18
53,79
49,20
56,58
75,13
7,92
10,18
59,55
52,63
69,9
86,25
37,94
81,91
27,34
82,17
16,30
51,4
91,91
58,91
76,83
13,58
57,96
22,5
89,97
23,60
35,21
82,87
27,64
51,4
51,88
83,77
29,42
98,51
38,73
90,98
55,74
82,13
28,44
24,68
68,81
96,57
82,26
55,20
71,32
17,90
48,66
16,24
69,54
3,65
11,90
32,18
35,25
45,76
70,30
7,40
47,35
22,80
10,75
57,74
49,48
11,50
78,83
43,27
88,92
27,17
37,53
97,55
41,88
95,73
24,50
100,61
30,55
30,46
52,47
82,13
47,46
67,100
25,63
80,96
8,55
91,66
35,18
5,17
24,12
22,65
1,23
19,17
45,53
32,49
73,22
50,2
72,93
64,26
98,68
1,96
29,33
12,9
57,86
58,60
34,25
14,45
94,16
25,80
39,40
22,74
68,9
36,69
97,4
58,20
48,71
41,1
16,22
1,20
8,38
81,82
28,28
86,42
20,84
58,91
89,65
89,80
49,12
54,83
100,68
70,76
20,92
94,33
40,76
90,27
78,8
68,92
15,8
91,88
39,1
90,90
48,76
85,73
100,37
62,62
45,41
84,86
22,85
33,26
74,21
18,66
48,88
37,5
37,76
3,97
82,18
29,18
81,37
22,50
15,19
11,57
