S_i,A_i
98,43
23,80
6,19
27,23
14,33
5,77
30,12
22,20
34,77
16,44
80,15
64,15
53,38
71,84
4,16
20,10
54,9
55,80
59,14
43,84
93,22
34,25
40,66
47,73
68,17
19,70
17,15
99,14
61,5
98,71
54,86
75,14
66,90
27,95
86,5
79,98
12,17
19,6
17,65
20,42
53,75
63,90
93,99
2,26
94,56
36,38
38,86
59,66
36,49
17,3
60,18
70,32
63,63
87,7
76,36
53,9
84,46
49,32
37,39
27,53
59,11
95,30
54,96
43,51
86,61
39,39
86,37
69,82
86,19
18,43
83,42
72,74
55,5
69,54
93,60
87,95
85,40
27,92
33,89
73,95
34,54
57,100
57,64
70,65
71,25
10,28
10,67
89,59
90,100
35,96
63,35
59,52
67,58
52,11
21,77
71,45
82,69
16,62
90,73
50,55
67,14
53,97
43,77
85,92
9,54
97,60
35,46
18,67
71,5
49,85
72,32
37,86
70,43
41,3
50,44
1,94
95,84
60,54
47,9
83,83
48,95
49,76
81,76
71,98
4,86
49,72
74,14
47,27
56,23
97,22
75,41
58,2
100,93
11,50
45,94
73,34
50,82
46,75
75,4
44,62
67,9
71,75
56,9
57,11
92,59
88,28
46,14
75,68
53,44
82,64
28,37
25,79
45,50
5,99
5,56
96,68
95,12
71,34
21,75
80,51
6,91
98,81
62,3
2,7
42,61
21,43
80,20
42,85
30,27
41,73
66,62
40,74
84,100
37,53
23,68
28,92
50,17
36,23
62,62
59,79
13,12
20,46
26,10
40,43
41,96
14,71
57,23
1,3
62,62
89,46
53,50
21,17
39,6
86,63
23,30
33,12
98,93
44,65
69,83
9,37
83,46
17,16
100,31
19,48
72,7
87,54
68,70
31,13
77,29
70,27
30,40
88,61
43,96
28,66
74,47
1,13
61,87
26,1
83,59
26,75
74,20
59,71
77,98
41,40
52,60
43,77
24,78
57,58
35,6
10,57
94,80
75,12
7,79
18,18
17,39
46,18
33,62
70,4
78,61
44,55
62,93
86,77
18,88
34,8
68,89
35,10
72,88
20,3
89,20
63,62
59,32
77,62
55,41
48,73
20,77
86,25
62,17
28,36
42,43
93,62
23,80
85,12
46,38
21,98
24,85
44,9
29,43
94,97
71,94
4,67
66,97
88,20
96,12
2,9
75,82
39,15
93,27
26,47
80,12
19,63
42,5
2,40
10,15
19,66
85,95
1,68
54,99
74,77
97,12
43,58
26,1
89,13
36,22
93,74
46,23
28,52
70,64
71,98
16,44
73,86
82,51
82,4
86,11
83,88
44,38
46,45
95,4
74,86
100,91
49,19
8,57
6,32
37,90
65,22
5,11
30,46
54,84
74,81
41,82
2,63
69,19
9,2
4,87
61,34
1,53
52,51
59,30
99,6
70,80
18,25
65,42
80,95
12,34
38,60
39,83
67,48
79,87
15,68
46,39
88,85
80,54
6,80
14,61
15,65
64,35
7,97
89,53
67,53
63,9
75,10
40,39
65,42
59,73
82,78
67,27
72,20
19,28
79,13
11,64
22,40
2,6
2,2
52,71
31,33
7,15
89,40
37,51
75,48
47,22
13,93
83,44
87,51
26,84
61,46
87,84
65,49
30,70
55,64
25,43
80,75
87,45
34,77
31,99
46,99
84,81
13,92
57,90
96,26
75,95
33,96
26,68
50,91
83,79
80,32
36,3
88,22
24,28
44,54
10,17
19,9
51,48
74,12
33,41
75,54
76,88
54,98
60,28
16,27
97,73
10,93
87,81
20,25
63,24
18,89
86,10
49,19
85,87
94,30
23,64
43,76
75,67
8,26
89,79
67,84
73,69
59,7
7,23
59,31
86,52
73,50
83,38
93,45
67,33
88,70
100,13
96,80
65,84
84,44
43,87
70,11
59,63
56,1
37,76
82,40
90,90
70,57
15,99
38,40
23,85
13,94
65,100
51,70
76,88
15,49
65,42
25,79
18,84
88,76
68,30
17,53
1,51
48,3
83,87
47,43
59,84
83,13
50,88
2,55
11,59
58,81
30,65
17,13
69,94
66,12
79,10
1,97
36,37
90,6
27,63
13,58
31,77
49,24
9,32
68,53
50,78
37,72
66,51
48,36
32,4
86,77
16,43
53,64
72,41
95,10
3,28
3,44
82,86
38,60
63,44
98,59
50,22
59,55
61,29
16,38
92,28
21,97
83,60
17,23
16,23
37,64
23,15
97,2
60,49
32,92
7,29
61,97
3,100
59,28
81,55
2,87
51,83
43,43
84,3
26,21
37,49
3,100
83,17
49,4
86,63
54,75
94,94
93,60
49,61
44,47
90,80
13,4
85,95
75,27
1,29
80,49
65,89
24,51
85,46
44,65
97,46
92,64
23,11
33,69
22,9
71,94
44,90
35,89
47,5
68,90
33,43
63,99
89,61
65,85
53,58
38,29
93,20
77,96
55,49
20,47
42,83
24,91
2,80
46,53
26,27
99,74
50,77
74,27
66,20
36,6
1,91
9,15
45,3
31,21
34,13
83,97
18,6
44,52
57,10
77,6
69,4
35,59
50,20
96,76
71,7
1,6
80,4
39,50
91,52
70,84
49,96
55,58
9,85
27,52
63,68
9,22
7,74
94,42
41,89
72,80
56,91
46,67
77,57
2,48
19,61
90,93
100,11
4,85
36,71
16,75
43,60
93,55
13,50
77,48
84,49
23,26
76,48
36,30
68,48
2,36
56,52
86,19
56,11
90,38
49,49
29,19
50,36
77,72
3,62
97,42
29,96
19,33
56,80
51,57
33,41
39,77
39,71
74,61
79,90
97,68
49,78
83,29
55,18
88,22
1,46
17,72
44,83
35,39
97,45
32,89
12,37
67,42
54,57
14,70
65,63
82,56
2,8
29,7
28,25
68,17
56,41
36,46
92,25
63,88
22,98
75,13
14,10
44,91
20,40
59,65
7,40
98,47
71,25
67,62
10,27
45,77
29,21
4,35
91,19
17,71
61,20
92,76
54,80
18,51
100,51
53,26
94,16
68,10
28,16
29,27
2,23
34,71
73,56
97,51
74,49
71,69
2,39
7,33
64,25
85,7
18,27
8,23
46,2
56,51
47,22
78,18
1,61
42,50
20,33
55,31
12,61
7,44
87,1
92,82
38,74
60,12
25,52
19,53
4,54
98,72
25,65
77,44
5,49
87,26
74,85
83,30
8,47
43,40
85,82
2,73
17,70
36,56
52,89
80,34
40,4
93,44
39,80
10,100
89,97
95,32
40,67
91,47
75,96
25,41
26,34
98,89
29,44
51,37
75,12
56,7
84,24
94,91
26,86
39,34
8,92
7,23
61,7
63,79
97,66
33,51
84,57
90,23
66,22
41,7
66,25
16,39
86,74
58,53
33,15
38,11
20,79
35,6
87,45
1,55
61,82
3,95
17,52
4,86
7,1
36,76
51,7
21,7
19,96
93,58
12,1
88,87
24,41
79,92
37,58
81,25
72,70
58,41
66,32
35,3
21,40
21,75
55,97
94,5
66,57
71,51
47,87
73,9
35,88
12,71
74,10
70,18
5,46
73,58
96,71
29,40
23,43
76,34
22,48
98,20
93,6
26,80
34,10
45,29
56,99
65,88
63,66
57,71
53,60
7,72
23,70
14,21
94,83
35,52
34,78
67,68
72,39
74,26
100,84
57,17
24,63
26,16
26,79
43,100
39,59
38,71
3,10
43,88
63,2
5,96
95,51
73,49
11,37
59,29
60,86
68,65
43,51
45,3
68,53
42,51
72,97
38,87
90,40
34,82
82,30
34,78
43,35
83,54
30,68
83,90
68,23
55,49
78,88
73,64
21,68
73,56
3,66
46,29
63,15
44,20
16,4
28,18
55,93
34,74
84,28
2,20
87,73
17,87
37,47
25,28
60,20
91,84
21,72
3,1
6,83
81,51
91,1
33,6
49,50
75,36
65,18
94,59
92,29
22,4
1,52
76,71
24,85
46,14
60,39
29,5
40,38
34,4
74,73
97,34
56,58
88,13
24,44
92,38
9,83
35,57
54,39
23,25
22,24
76,65
73,46
10,16
41,32
32,42
71,49
87,75
26,70
100,98
79,34
15,92
88,48
30,90
29,52
79,46
25,42
73,55
20,50
60,74
5,70
30,36
64,25
42,70
17,36
9,76
97,40
2,65
58,44
71,70
64,56
4,18
7,37
42,3
68,73
3,42
6,96
61,76
7,67
99,24
11,67
85,90
84,91
86,53
98,21
6,79
58,20
28,74
38,63
84,27
54,81
87,41
84,72
50,88
31,39
21,2
79,24
99,63
48,2
22,21
24,6
71,88
66,40
12,10
63,35
27,11
44,79
100,98
7,87
22,59
17,41
24,100
55,80
32,98
23,78
35,63
74,56
87,92
51,100
68,18
16,22
6,54
77,69
98,41
32,50
38,69
18,82
48,41
4,56
82,33
90,50
28,57
44,80
69,23
89,41
43,16
65,37
9,3
43,49
13,16
75,98
70,86
91,62
25,64
78,11
91,25
9,97
82,75
93,34
10,38
76,50
37,86
95,51
66,92
29,7
92,2
88,45
81,22
57,55
81,62
13,83
12,11
35,63
18,53
78,39
42,53
66,50
44,91
2,55
34,68
79,70
60,70
86,61
59,4
73,29
49,49
55,59
78,10
40,15
98,86
28,72
73,37
83,80
1,96
3,78
37,19
46,77
56,42
84,23
98,45
50,23
92,86
46,56
71,25
56,42
66,37
56,85
54,87
12,75
48,26
62,60
63,87
90,37
85,48
65,74
61,87
8,20
4,99
90,4
38,74
23,15
93,6
61,35
29,26
71,84
74,34
28,82
6,14
80,63
20,46
24,14
27,77
72,51
94,97
68,75
92,34
25,81
66,43
83,62
40,33
47,90
10,71
18,29
65,52
38,23
48,82
47,21
11,73
94,65
97,20
50,41
91,10
24,18
40,22
81,75
61,62
43,55
18,53
61,99
2,10
2,34
95,15
73,18
47,40
69,19
42,90
78,65
88,88
74,94
79,38
62,47
68,11
90,44
82,88
89,37
64,21
61,53
41,82
38,93
41,74
46,4
51,58
99,92
1,86
73,13
19,33
39,52
21,94
47,50
68,60
36,18
15,5
51,63
51,36
83,28
37,66
55,22
92,91
33,37
59,71
15,61
48,56
14,90
10,68
33,30
9,48
28,89
40,60
61,82
100,68
25,94
85,76
