S_i,A_i
36,100
98,28
61,21
11,19
40,67
66,79
58,34
40,29
73,50
53,7
27,82
28,4
40,21
48,72
69,27
8,88
28,27
38,27
21,29
51,50
47,8
29,80
21,27
7,45
44,48
59,57
74,76
28,98
34,54
35,46
46,10
94,26
63,21
76,97
6,21
29,67
34,62
1,22
50,4
9,48
69,30
52,29
51,56
50,87
20,75
80,60
41,69
70,61
14,51
85,11
41,76
46,69
27,79
37,97
99,38
19,48
92,21
36,51
96,36
100,67
94,50
14,25
62,85
59,54
93,18
56,50
4,95
44,21
29,34
32,38
14,51
42,70
83,52
9,2
34,87
43,71
21,84
27,5
99,3
41,31
22,58
36,82
5,90
41,61
1,53
34,68
13,85
25,95
61,54
30,51
62,78
88,81
61,78
52,54
12,82
66,78
76,83
56,57
75,94
26,80
55,1
83,29
75,7
11,45
85,37
45,2
97,68
44,50
21,66
86,42
5,82
74,65
52,34
42,14
60,53
57,22
100,94
50,91
95,82
74,47
40,46
82,70
62,73
79,16
2,14
25,29
67,77
64,15
87,76
45,37
84,90
44,60
85,55
60,94
41,55
82,54
10,79
24,93
75,62
90,61
55,41
83,92
42,79
87,11
75,2
51,18
30,49
7,1
39,11
36,6
44,24
69,83
70,80
1,3
5,42
57,20
54,24
39,48
91,82
45,27
51,21
67,68
99,30
80,11
30,11
27,96
82,88
67,3
58,24
99,72
3,64
16,34
55,49
10,87
48,40
24,71
94,93
60,52
40,87
33,5
44,70
58,43
82,70
20,5
51,22
64,29
70,97
72,72
97,98
50,26
82,77
47,21
52,35
52,55
22,20
89,92
61,74
1,39
96,77
62,92
55,66
82,12
86,70
86,5
60,85
70,71
97,39
34,61
27,97
94,71
71,37
82,64
83,31
80,18
12,6
66,84
11,65
41,64
10,48
30,24
54,21
25,44
16,57
58,53
15,16
46,51
72,97
46,36
71,88
80,44
68,45
32,2
87,81
49,48
20,50
60,35
14,66
44,15
51,57
52,55
3,38
38,79
54,6
59,69
60,15
78,96
53,92
5,82
100,91
12,86
91,69
43,65
82,6
7,3
82,41
46,97
49,36
16,19
96,37
36,94
42,8
34,69
100,98
6,12
83,79
23,25
37,29
73,66
31,33
19,45
31,35
59,24
96,58
6,40
29,68
64,1
92,54
37,78
79,14
63,42
26,47
18,65
46,77
84,79
18,22
50,44
38,17
65,82
84,69
20,4
36,58
10,59
86,12
63,90
30,66
61,32
14,97
87,91
50,57
93,15
31,56
74,37
29,12
99,77
76,44
50,74
72,42
96,54
44,61
45,50
92,83
76,41
37,20
62,52
46,61
73,53
15,52
79,67
53,27
16,60
85,59
81,33
20,36
59,28
56,53
20,57
14,43
6,65
56,78
51,82
94,32
74,15
54,86
77,2
4,35
10,7
6,66
38,62
92,16
34,36
71,89
14,98
9,41
83,1
91,40
11,52
74,41
98,93
1,29
91,43
50,54
57,85
41,13
69,51
94,70
8,22
79,93
99,83
15,97
28,79
30,79
8,40
93,65
25,13
77,99
50,33
22,97
51,22
35,13
42,59
16,100
81,93
37,25
22,15
65,85
42,19
55,46
31,10
62,54
79,72
24,42
91,97
79,78
56,45
22,22
78,91
6,75
93,53
2,10
82,64
39,23
12,52
43,2
38,87
58,84
89,58
52,87
73,97
32,79
10,50
97,41
86,1
36,39
7,56
33,13
41,31
1,80
70,89
49,42
70,59
30,94
79,98
50,41
72,44
43,98
27,4
20,54
64,38
56,33
85,2
91,68
68,41
51,6
77,4
68,42
45,59
47,44
50,15
77,8
89,26
99,88
98,62
52,32
28,69
48,36
73,55
66,33
46,44
92,96
43,78
74,77
25,5
53,77
87,89
12,44
9,67
29,19
89,60
59,42
89,77
55,25
5,27
73,96
12,89
41,79
97,75
30,96
66,89
22,35
29,51
62,56
77,100
77,66
97,36
12,65
96,46
56,22
94,27
71,12
72,82
75,58
88,78
74,15
80,54
96,98
24,84
48,90
89,3
51,95
71,87
54,49
99,16
56,75
59,35
82,44
72,36
13,67
12,30
91,48
36,48
48,81
81,19
3,53
81,74
65,99
63,6
67,76
45,9
26,8
68,11
44,50
58,32
87,100
10,31
100,99
17,31
98,24
30,45
78,50
56,37
83,99
90,88
18,82
95,70
84,21
44,87
76,66
76,89
78,71
25,31
23,34
52,84
55,45
57,45
26,70
36,33
62,28
7,31
4,5
94,99
2,29
29,99
38,72
77,72
55,84
36,33
4,48
41,26
4,7
27,60
13,95
55,73
77,32
12,46
20,33
2,14
65,12
18,100
35,52
53,88
79,20
47,12
19,57
94,13
11,43
17,63
68,79
15,24
73,78
8,82
54,93
63,34
94,89
62,57
37,92
62,27
89,89
96,85
47,96
54,75
74,83
69,77
8,73
9,37
55,1
11,78
34,75
11,73
16,5
94,72
86,54
18,97
89,38
63,40
69,58
73,26
37,34
43,74
40,63
17,9
62,67
30,54
3,7
59,20
86,58
46,45
45,37
79,17
77,84
80,62
92,17
32,50
5,34
48,63
33,4
94,59
82,90
1,32
3,51
38,12
1,92
35,53
39,91
98,87
17,94
27,23
89,28
51,5
67,98
63,55
51,73
93,98
77,97
21,76
47,74
17,93
25,14
34,17
66,72
11,33
77,36
93,85
29,39
53,42
42,57
63,72
66,30
32,67
100,14
13,92
97,86
10,46
77,12
1,48
91,21
99,13
64,87
76,52
74,80
78,28
25,74
55,5
43,50
72,51
67,88
51,5
19,40
54,52
41,67
99,72
67,84
43,64
6,16
22,86
54,50
24,78
99,68
85,38
23,15
31,55
21,74
12,46
4,80
18,54
64,42
50,20
18,56
64,99
14,53
49,28
16,27
24,51
81,92
92,55
74,96
78,64
20,12
75,81
96,26
23,43
32,99
23,26
82,84
39,11
80,45
92,31
54,90
55,75
58,61
51,93
92,66
96,12
57,36
15,83
94,57
18,91
73,46
21,1
48,66
2,93
10,41
97,51
61,100
35,81
57,77
74,42
18,84
92,40
54,96
20,36
19,10
85,65
76,2
42,59
90,46
9,49
13,62
13,28
58,84
45,100
71,15
49,95
18,41
69,84
23,81
79,42
95,60
54,3
25,7
49,31
81,47
80,81
36,70
2,56
32,29
79,42
65,84
36,75
83,76
99,75
83,36
23,19
82,48
2,38
32,66
97,17
39,41
53,58
72,96
100,67
71,77
12,2
72,23
70,67
16,52
46,57
11,92
70,89
25,51
76,5
1,4
83,54
59,25
65,12
83,10
66,100
47,87
81,71
76,55
45,17
47,86
21,62
99,63
38,65
66,99
86,32
83,81
40,29
16,23
100,87
56,82
85,22
48,95
94,90
52,36
19,33
24,60
82,25
75,54
31,15
45,86
28,27
17,45
66,24
22,26
75,19
58,82
35,5
21,82
2,61
52,68
76,50
5,48
71,75
62,61
58,87
27,62
67,81
36,45
83,82
74,50
88,46
71,41
59,26
38,37
26,52
69,5
53,2
46,91
55,87
87,88
33,74
12,41
40,1
59,70
79,43
76,59
78,92
91,5
97,90
70,89
66,45
87,55
35,70
47,44
9,44
76,46
79,54
30,4
26,64
58,73
45,10
32,81
33,94
81,12
5,83
76,68
18,22
44,36
12,51
57,47
96,3
45,39
76,18
75,44
89,92
60,19
31,16
86,66
100,75
74,14
56,25
32,5
80,41
86,1
45,5
67,59
90,46
30,94
6,47
88,25
93,52
60,51
66,46
73,27
52,12
8,74
79,46
77,38
57,23
90,48
57,21
69,14
10,74
38,14
90,3
92,21
84,72
62,55
57,97
52,40
19,16
37,24
14,20
85,59
46,20
95,35
6,21
41,21
33,1
55,25
10,69
1,50
82,51
53,11
99,89
89,8
46,57
11,41
52,79
45,48
99,11
35,24
19,68
61,20
27,92
16,52
86,58
17,69
46,8
69,57
60,29
15,61
62,76
69,42
28,82
12,25
39,91
72,68
12,76
74,4
44,8
18,95
32,19
66,16
97,85
3,10
28,27
18,94
96,40
55,59
37,65
83,88
46,79
2,24
32,85
94,8
69,80
7,89
100,78
40,63
49,62
82,95
56,33
50,48
79,96
66,5
58,2
95,39
67,72
65,23
28,81
60,82
43,96
89,46
57,44
86,96
37,60
17,91
7,68
83,57
45,16
38,25
44,78
40,90
82,74
76,22
34,77
6,43
9,23
48,22
27,65
99,80
3,78
77,29
94,4
42,3
32,63
10,57
71,67
48,34
38,15
36,67
60,40
21,34
91,30
29,11
22,72
61,76
73,5
72,67
27,48
71,12
34,23
69,71
62,54
70,39
58,6
36,38
33,9
85,55
41,37
84,12
86,84
12,46
36,80
29,14
15,8
100,1
10,32
10,51
17,93
61,72
31,70
2,41
27,95
67,27
21,93
19,5
81,15
30,34
97,2
85,63
44,8
88,37
36,65
5,8
26,55
81,55
2,78
11,46
97,54
89,21
73,38
11,71
22,56
69,4
34,63
59,76
80,48
76,3
72,37
28,87
1,27
87,32
27,67
9,31
63,28
39,26
94,43
60,31
10,10
36,29
84,7
61,57
98,18
39,50
85,74
41,18
51,16
46,28
76,89
44,94
89,99
17,66
54,85
45,81
52,28
7,42
51,11
42,51
12,52
2,26
93,96
6,38
5,89
82,51
51,7
81,18
31,18
84,58
95,5
91,80
77,100
100,21
85,19
92,75
34,54
11,41
82,69
34,62
93,82
26,95
46,68
7,35
92,26
24,85
93,48
45,95
95,59
44,4
32,3
14,85
73,55
5,1
82,77
35,2
69,11
25,72
21,16
26,55
50,62
63,46
89,99
28,41
51,48
41,24
44,69
35,68
79,28
44,69
47,8
90,36
61,19
64,13
9,2
19,27
56,37
48,31
46,73
70,18
32,54
98,43
33,45
29,41
63,74
66,73
84,70
17,52
26,94
71,4
48,33
49,37
6,67
93,65
15,53
15,12
91,37
52,73
47,18
13,46
47,99
79,27
35,26
32,20
3,98
3,49
12,3
80,61
34,97
46,78
4,19
47,5
91,26
62,42
64,58
4,22
85,82
11,46
65,77
6,76
49,84
80,11
16,83
76,29
65,45
92,10
40,61
19,19
77,68
62,20
80,75
9,48
51,93
62,92
94,67
34,61
11,7
77,73
82,49
5,26
45,56
87,63
62,23
66,97
83,30
2,44
37,20
87,96
62,83
25,98
74,67
17,83
45,96
49,18
62,4
16,76
47,17
1,42
60,1
14,89
55,59
100,28
82,83
10,100
61,71
9,62
12,60
48,81
68,84
17,62
34,7
44,16
57,59
21,64
53,54
58,68
80,10
28,42
99,70
25,82
92,84
99,26
89,87
80,14
58,52
63,9
85,55
26,9
1,44
42,50
28,60
31,55
98,18
20,95
63,78
63,74
76,39
76,53
15,76
13,68
63,59
95,70
78,62
38,94
20,7
21,95
20,70
84,56
26,94
94,85
71,79
99,51
51,75
58,8
64,11
74,48
29,41
47,79
72,49
43,11
3,25
50,57
93,66
2,55
96,30
31,9
1,24
32,58
53,45
70,48
74,98
71,13
80,69
33,1
11,15
34,100
76,91
84,88
33,33
92,96
48,50
92,32
24,11
43,52
98,18
71,89
16,41
96,64
72,61
95,49
99,94
64,75
96,49
25,23
13,9
16,53
45,60
98,99
86,57
91,77
61,52
38,30
86,6
28,45
49,95
27,93
85,5
77,34
36,66
95,3
53,76
24,91
12,72
87,47
1,78
44,68
5,50
50,49
62,48
81,32
35,48
14,42
38,26
58,39
86,87
40,1
55,72
78,97
78,31
86,42
25,5
11,49
37,16
70,34
74,81
54,28
81,88
49,46
26,20
52,4
14,100
93,40
18,37
2,66
19,75
16,29
14,47
62,39
67,25
61,65
21,30
