S_i,A_i
42,40
5,68
92,50
22,92
58,70
51,45
57,34
33,71
15,90
10,84
31,13
71,89
93,3
18,13
8,54
63,42
27,77
65,75
72,62
95,82
34,13
1,7
4,49
99,16
36,12
3,10
50,55
66,31
38,58
50,46
12,53
55,10
33,34
59,42
98,52
88,50
97,2
64,81
43,31
96,32
52,62
74,99
83,12
57,87
10,21
18,16
59,7
26,65
88,99
40,12
73,96
86,76
86,1
76,25
7,23
94,16
6,90
69,3
72,31
63,69
61,91
89,42
20,63
63,93
60,69
31,90
47,98
61,90
43,47
3,99
30,59
79,48
66,57
92,100
35,82
93,67
19,24
84,38
94,70
62,61
74,48
52,49
23,32
18,100
74,35
29,13
35,12
25,29
85,55
34,57
43,62
60,53
28,24
56,26
86,52
52,1
6,41
64,17
28,72
100,54
59,18
35,14
41,99
46,98
6,99
69,81
21,92
21,22
33,8
63,75
43,54
29,25
34,77
26,17
93,43
27,62
60,94
70,89
91,97
53,12
30,13
24,67
44,21
85,78
80,1
13,33
15,49
51,10
6,87
13,44
19,25
78,43
30,16
39,72
97,9
91,81
25,15
10,97
35,52
62,51
37,88
70,66
94,40
67,67
12,36
96,87
94,97
29,21
44,49
57,91
9,4
47,79
26,98
63,85
96,76
15,22
69,65
32,79
29,7
87,67
56,78
30,90
95,30
56,18
58,63
55,52
83,11
74,93
63,40
95,12
19,47
42,33
99,51
40,37
97,50
58,79
52,42
81,51
72,24
89,2
20,83
11,78
93,35
93,15
5,17
94,78
99,71
77,31
62,90
14,27
3,76
50,33
7,47
1,44
55,48
59,28
58,68
50,11
86,76
70,20
67,68
54,99
27,66
12,70
82,44
47,99
16,35
89,77
28,91
78,35
4,11
49,91
94,84
50,65
38,93
1,63
54,75
86,71
37,61
73,34
6,11
71,85
42,93
56,36
45,53
84,31
21,79
92,52
44,6
42,83
68,40
34,86
4,87
30,80
46,83
38,69
84,69
58,13
42,69
63,16
7,63
34,13
22,92
71,92
64,64
43,67
47,41
50,37
44,43
82,76
82,10
79,65
7,74
72,72
19,53
61,77
28,31
91,53
66,62
66,54
1,44
74,83
60,85
19,11
60,80
36,37
74,27
63,81
32,38
53,43
17,74
13,82
91,100
41,27
49,84
6,49
1,78
46,76
5,92
86,49
28,9
28,67
62,92
60,21
52,1
99,100
1,94
7,33
11,88
63,70
88,26
37,98
87,97
87,23
1,70
81,63
77,9
64,53
4,74
95,26
49,11
89,40
46,7
6,3
21,68
64,22
36,5
21,34
5,52
13,12
79,74
25,83
25,2
7,45
69,45
35,63
73,17
40,14
76,68
64,24
92,46
46,83
98,66
10,98
55,26
8,89
97,30
68,7
67,46
97,81
71,6
67,93
41,92
100,47
58,67
18,35
56,88
92,39
53,41
65,39
1,90
81,21
22,59
15,33
53,48
45,61
34,34
100,66
88,54
93,64
49,66
17,15
8,70
7,23
82,77
91,94
36,29
100,33
55,96
65,54
33,63
11,52
79,44
58,48
86,86
52,22
82,93
78,8
8,61
68,86
98,42
20,32
78,100
76,1
81,36
94,23
15,5
92,54
38,92
46,94
83,97
48,91
27,66
14,47
29,15
27,77
32,67
42,45
40,30
100,37
24,97
52,6
28,40
54,97
66,70
90,87
30,82
7,10
89,65
25,19
19,41
27,35
1,1
28,26
28,54
97,34
95,38
76,13
87,54
64,85
7,50
58,28
26,78
10,93
21,15
23,9
74,51
13,42
54,66
23,56
3,41
86,33
96,17
51,91
93,76
83,26
32,99
70,84
93,64
61,79
40,46
30,37
78,2
59,94
18,81
27,21
3,55
57,52
100,40
17,4
47,33
67,59
79,8
89,34
58,30
77,40
29,49
37,1
33,34
61,75
27,83
51,75
29,67
8,29
25,1
79,76
25,83
98,86
52,69
18,16
70,89
74,96
21,49
2,52
63,68
99,12
15,61
90,35
9,62
33,46
88,40
4,83
98,80
83,35
44,6
75,24
31,33
100,93
88,19
56,61
28,71
59,18
3,77
83,66
89,99
64,4
42,30
70,90
19,16
34,70
37,3
20,33
53,88
27,67
26,35
21,66
7,38
69,81
74,25
38,8
70,98
41,97
48,2
97,8
45,14
38,35
33,65
38,77
18,38
80,63
83,65
88,16
5,74
65,50
40,29
77,20
16,27
62,100
24,72
29,38
21,50
59,19
89,44
43,49
16,78
84,20
13,11
2,55
22,62
60,37
37,75
67,52
62,84
91,92
75,37
6,65
3,81
43,13
41,81
72,1
58,42
92,100
60,53
60,65
18,21
16,34
44,15
48,66
14,33
77,56
9,79
55,69
26,82
61,3
47,52
73,28
69,13
66,86
16,45
48,12
39,37
10,55
67,75
88,38
7,33
43,17
14,17
18,71
22,99
41,33
20,36
9,59
26,79
89,71
6,69
51,46
15,97
49,22
33,13
34,4
93,47
65,15
42,89
4,18
68,100
82,41
60,9
80,17
