S_i,A_i
69,87
36,89
2,53
76,48
94,95
3,38
74,40
83,74
19,54
97,75
72,74
27,60
70,94
20,24
32,10
97,96
84,71
26,64
71,9
58,9
4,69
72,79
2,4
90,51
52,55
90,57
52,21
5,36
47,93
29,4
54,57
31,88
97,70
92,88
59,32
33,8
15,69
28,93
20,77
22,28
51,32
25,21
86,49
98,41
13,28
71,79
40,32
78,67
84,45
53,20
65,9
83,36
36,59
48,40
47,4
19,75
13,76
99,86
12,57
87,2
44,42
29,36
74,32
79,72
88,2
6,26
17,81
51,38
3,16
22,51
45,55
67,8
63,79
64,51
55,63
28,50
33,85
23,64
95,42
88,43
5,46
23,35
4,74
98,37
17,4
56,54
80,3
32,50
45,75
97,48
89,31
73,32
24,96
56,57
37,92
65,56
17,20
26,98
64,52
73,27
41,31
45,39
91,3
11,50
42,93
87,4
21,9
42,26
78,97
64,44
4,69
64,20
32,36
57,61
12,91
94,65
60,87
57,58
88,8
70,91
6,62
26,54
45,91
9,37
84,66
43,68
77,68
81,32
3,9
44,5
58,44
72,73
88,88
52,76
44,97
27,12
69,78
42,98
64,36
35,82
6,84
54,51
90,76
24,55
81,90
19,89
91,48
3,71
41,69
88,59
94,73
98,53
85,37
68,65
25,65
95,59
93,66
58,61
42,79
98,94
35,100
33,22
33,76
14,35
72,27
89,34
88,23
48,88
99,56
74,8
48,63
49,95
20,77
81,78
93,97
72,19
86,32
5,38
49,6
18,17
20,96
4,22
55,20
1,17
95,26
33,80
37,75
62,51
86,22
93,31
7,18
61,58
56,54
70,60
28,71
100,11
41,96
96,34
76,9
52,71
28,51
31,73
9,14
12,6
36,59
19,51
88,36
25,14
2,53
45,62
96,39
8,73
70,58
65,56
90,81
42,90
27,37
21,26
70,23
40,74
94,73
52,32
84,34
7,60
69,69
18,38
4,1
76,62
25,78
37,63
68,17
52,4
99,7
29,80
86,77
67,64
52,40
86,57
92,37
45,27
14,66
25,8
75,66
89,96
40,70
64,18
56,47
72,90
57,23
83,35
88,28
85,66
33,30
22,28
45,42
35,40
70,65
28,16
57,25
63,67
7,29
33,92
30,70
78,94
13,61
22,78
36,56
96,7
42,6
33,61
58,7
22,27
2,9
53,84
65,96
32,13
79,31
46,30
38,92
57,66
35,63
8,57
96,69
18,11
41,77
60,17
92,5
93,62
20,45
11,64
63,27
35,91
61,96
76,58
27,74
20,86
25,8
88,37
48,33
48,5
3,2
22,69
38,85
21,85
79,100
78,62
53,88
35,28
88,16
94,37
80,61
45,18
10,42
29,49
87,72
80,74
21,37
30,22
82,83
71,88
77,19
49,53
54,69
65,66
17,50
18,97
33,36
32,54
57,90
13,43
98,82
38,32
3,10
65,98
8,23
66,67
38,42
60,79
21,63
31,90
61,32
33,54
22,69
73,35
6,50
81,44
16,25
37,97
44,17
35,38
8,44
45,82
66,39
66,82
5,29
63,37
91,85
30,59
11,64
20,98
90,89
52,23
65,50
93,28
78,89
99,83
12,55
84,3
9,46
14,2
55,7
14,8
10,98
2,21
32,37
42,37
2,29
26,44
7,36
93,13
44,86
84,31
82,12
36,100
43,15
9,93
67,80
19,73
27,10
11,17
11,10
74,66
78,9
41,23
64,87
52,95
48,95
3,62
56,46
81,15
39,76
26,81
27,50
69,23
84,21
13,56
33,93
6,14
97,54
13,35
83,68
85,21
26,44
3,82
74,56
40,56
96,88
71,37
37,72
98,80
61,99
3,20
21,53
94,81
89,83
15,41
12,53
98,84
50,79
99,78
60,11
29,9
91,65
28,77
69,47
16,64
36,11
31,44
27,28
25,57
24,43
99,52
75,50
96,100
2,31
92,21
25,23
40,84
42,5
30,2
54,17
66,55
66,81
46,54
73,30
22,66
61,20
21,78
3,55
11,35
46,27
55,31
91,90
75,43
66,2
47,42
4,79
84,46
37,90
84,87
67,30
90,83
67,99
99,21
81,73
55,78
22,73
2,46
1,19
43,22
64,10
25,53
93,94
68,49
15,23
80,46
98,19
3,46
93,65
30,51
33,45
23,44
24,58
42,43
7,68
28,60
54,74
23,46
35,93
68,4
44,26
19,4
14,93
90,80
100,8
25,73
13,58
49,32
18,2
15,95
22,8
48,85
4,9
58,100
21,19
61,75
52,68
23,80
11,27
72,78
41,18
60,86
35,65
56,91
74,58
