S_i,A_i
11,89
12,58
80,9
3,63
24,65
35,23
23,84
8,60
49,29
36,92
95,81
47,12
78,10
78,80
42,31
39,68
8,9
5,15
44,49
62,76
57,75
34,4
95,56
49,37
48,24
1,73
6,61
61,55
74,84
8,67
17,100
12,100
92,63
91,80
35,100
4,10
19,28
26,17
87,88
82,10
60,28
26,47
90,84
60,15
56,54
22,23
21,93
80,41
89,73
69,67
95,85
24,48
77,89
50,44
39,73
9,99
14,86
57,9
72,40
85,56
89,76
94,23
12,21
37,61
54,23
34,99
73,52
36,57
76,20
43,14
63,5
12,79
58,65
33,25
72,2
41,3
68,28
62,46
7,97
49,83
19,2
71,11
41,67
75,72
78,67
17,42
34,3
86,51
52,79
35,20
4,46
9,57
4,96
50,71
99,93
39,67
66,69
75,81
12,30
69,19
31,79
18,33
100,90
3,18
38,67
29,52
76,10
42,27
7,64
47,9
36,92
4,20
12,6
54,63
7,8
69,73
93,13
1,52
100,98
29,47
9,67
55,25
2,24
49,70
16,27
1,71
72,26
86,60
80,89
15,60
56,1
68,16
64,36
37,41
78,43
18,52
96,23
66,32
5,27
55,95
82,81
2,22
92,94
93,33
95,27
22,28
8,30
43,91
69,84
71,76
44,89
88,2
73,37
85,52
57,35
11,13
74,2
66,86
30,23
77,58
40,32
16,86
48,14
25,67
77,4
28,84
16,40
62,95
64,44
32,84
58,45
95,62
85,54
98,49
68,76
32,41
86,42
90,14
34,58
26,16
23,19
21,90
12,33
100,55
71,61
68,37
50,5
9,97
14,13
36,94
60,44
67,52
61,82
57,92
100,37
5,67
65,83
26,87
35,5
57,21
67,76
25,31
69,20
77,93
21,51
5,58
90,49
58,20
2,12
31,25
50,4
89,48
33,43
45,99
50,3
58,85
47,31
30,45
9,47
15,29
25,24
77,69
75,54
28,13
64,41
3,5
56,76
89,29
8,26
63,92
89,6
51,39
82,90
44,18
16,34
79,11
32,4
22,26
86,82
48,9
22,46
74,22
48,89
67,18
57,99
20,93
62,34
27,37
73,3
79,80
73,99
95,85
36,12
63,66
32,34
5,24
30,82
56,69
32,42
98,59
78,44
73,17
48,81
57,40
39,58
27,71
92,10
63,74
93,41
31,66
35,46
1,98
70,96
21,68
87,23
39,92
62,28
99,28
92,23
40,22
7,44
28,95
41,63
63,1
90,5
27,25
69,62
72,98
78,54
70,19
33,33
89,91
82,46
5,54
15,55
7,96
77,12
83,33
40,83
54,62
17,22
15,72
80,86
81,66
75,10
6,51
78,68
68,49
85,100
92,17
61,75
79,62
90,32
75,15
63,65
60,12
69,19
78,71
62,91
78,50
4,42
29,91
19,87
3,4
79,94
55,64
27,30
83,84
97,10
4,10
51,93
43,10
1,12
46,21
42,55
3,1
3,69
18,81
2,89
17,16
70,21
85,97
48,6
32,77
32,26
100,79
75,100
58,51
94,33
20,70
36,39
74,86
12,80
2,2
39,87
87,12
69,3
30,47
72,35
61,73
85,59
34,54
98,98
16,2
16,40
51,56
47,52
16,27
48,23
58,4
16,81
11,99
1,61
37,60
16,43
98,11
78,9
75,59
65,32
40,54
60,67
46,43
92,60
83,70
74,20
44,34
61,77
89,30
95,66
28,80
75,26
76,39
18,5
49,52
14,91
15,12
4,100
36,44
87,40
83,36
54,20
36,70
31,66
45,19
31,87
81,51
13,31
51,37
96,10
23,88
6,6
35,21
18,46
24,62
4,62
4,8
21,59
70,69
93,41
1,9
92,77
43,11
92,29
34,43
2,77
34,98
49,9
12,37
99,89
15,93
13,48
21,51
97,68
84,49
76,12
50,54
61,42
92,20
80,92
91,10
26,26
77,81
65,50
2,55
23,2
36,48
72,96
64,43
8,43
68,51
65,63
81,70
83,10
75,29
66,93
54,23
58,16
86,38
64,62
81,55
47,89
97,89
51,46
69,84
3,34
22,20
63,19
60,81
2,44
25,34
37,22
49,96
54,55
89,35
81,34
80,63
40,78
31,90
75,11
17,24
1,60
4,45
13,7
69,16
17,21
62,15
35,8
18,78
66,30
48,25
23,61
65,99
79,83
67,37
76,56
90,58
27,45
33,81
98,77
62,57
4,41
61,75
4,12
72,58
9,24
60,11
16,62
68,39
90,70
58,88
96,83
44,64
51,55
50,82
90,96
26,59
30,42
8,57
22,28
34,57
55,76
96,95
25,72
25,30
47,18
77,5
38,98
33,60
40,99
29,4
19,90
37,73
34,52
89,93
3,93
67,36
57,18
20,47
41,79
57,12
9,96
25,21
94,86
30,3
66,25
55,75
1,55
87,12
79,98
35,83
33,1
12,23
62,36
40,35
2,92
40,86
80,55
46,56
48,28
46,32
73,35
88,73
40,83
68,13
62,52
55,71
28,28
83,5
47,42
3,68
14,59
37,37
81,31
29,97
28,12
100,70
7,64
78,63
43,11
87,93
30,13
45,18
65,1
95,12
56,93
21,59
22,72
70,12
16,85
92,46
35,42
7,74
70,85
78,21
13,82
21,28
4,33
46,61
49,23
37,22
24,1
95,72
65,44
1,86
86,39
66,72
1,27
76,12
32,18
54,83
35,73
47,56
95,77
69,47
81,37
30,67
62,96
4,2
96,74
96,39
26,96
59,31
4,18
13,48
32,86
68,44
86,36
29,83
51,19
70,15
88,44
36,28
81,18
24,4
94,64
32,41
2,22
67,66
81,21
45,53
19,40
79,5
12,100
70,15
4,14
30,31
77,82
3,92
60,39
3,15
56,10
80,51
14,52
77,85
44,23
8,65
59,79
62,22
32,56
94,8
3,24
42,1
100,100
67,11
53,66
7,62
28,4
72,78
65,4
37,4
44,100
79,70
87,20
52,90
10,100
61,25
95,16
22,96
71,76
24,86
83,99
82,69
100,37
29,93
72,80
26,37
99,26
52,3
100,21
80,69
83,46
24,17
92,53
86,38
100,68
61,24
75,85
12,50
97,53
6,35
76,77
82,3
31,37
84,74
92,74
59,69
96,72
86,78
24,95
73,66
56,10
79,43
88,10
47,99
11,75
21,37
26,63
3,85
17,38
99,92
65,87
81,49
99,51
71,49
29,17
85,38
87,58
98,54
50,56
5,33
52,33
41,23
81,82
90,25
29,60
52,4
78,16
70,12
10,8
34,75
70,11
51,72
1,100
33,32
64,44
64,1
13,79
15,83
13,70
58,94
60,65
91,2
73,35
16,71
93,68
10,34
73,80
75,78
76,40
4,67
72,70
63,80
90,19
46,17
27,89
92,60
10,100
89,62
33,84
16,14
58,41
37,24
82,88
44,55
25,70
54,11
87,25
14,85
90,83
88,25
3,83
61,11
48,80
64,30
23,39
26,3
34,58
22,55
45,13
92,83
74,18
45,96
98,26
29,9
97,32
96,65
38,45
50,23
57,58
87,72
6,37
87,30
89,63
44,28
36,93
69,11
39,84
100,18
58,20
34,66
77,10
6,64
12,14
43,61
35,18
30,4
54,84
85,53
27,29
45,76
46,37
96,74
13,49
32,41
39,43
13,64
24,58
36,27
50,30
85,75
47,18
88,27
12,85
94,90
69,42
99,46
1,79
98,52
62,77
79,74
67,64
31,75
48,48
27,99
48,48
40,52
91,8
57,68
17,22
4,24
39,78
51,2
34,21
25,53
53,83
85,98
19,10
72,83
29,28
98,60
58,60
67,21
72,90
90,64
62,22
75,49
85,51
5,82
49,45
72,15
88,59
20,71
4,26
63,39
68,40
14,25
37,18
80,30
25,40
46,2
19,89
52,74
8,96
22,54
3,8
35,75
74,85
43,61
59,27
56,95
44,61
8,91
34,46
9,47
37,62
50,30
42,23
75,49
85,56
13,81
42,65
59,73
16,33
14,13
52,35
30,27
88,70
85,22
95,74
50,49
41,64
60,9
24,74
15,24
17,85
15,54
2,66
60,35
40,85
89,32
2,98
39,58
13,34
8,7
83,22
46,19
98,19
23,1
74,47
35,43
71,53
32,70
5,27
37,36
43,51
93,84
4,84
10,77
82,79
45,33
27,36
6,91
66,46
35,29
47,32
34,98
37,82
83,37
18,38
57,88
78,67
25,81
58,50
27,40
88,32
88,25
18,21
78,46
63,19
1,97
57,48
67,41
26,62
5,51
62,66
24,63
45,95
49,11
76,16
100,72
23,94
49,40
93,30
96,36
50,88
25,74
35,59
71,14
45,28
73,96
82,91
92,57
13,91
84,2
14,50
66,70
14,86
27,2
15,14
38,27
58,98
98,88
17,29
18,22
68,62
26,28
47,20
33,61
47,53
87,46
90,58
93,85
72,10
2,95
7,10
52,69
51,51
71,49
89,93
40,53
90,76
79,60
58,19
15,2
29,52
88,68
16,22
6,2
81,54
50,22
84,15
97,98
34,52
68,76
39,91
22,39
18,22
23,25
70,51
87,55
97,38
95,95
10,50
56,38
18,83
71,98
40,100
72,38
37,9
91,38
9,83
45,94
79,9
7,88
2,37
8,4
50,67
67,3
88,49
93,44
52,71
77,83
59,61
30,20
83,18
49,23
73,91
63,69
46,36
85,57
97,50
91,83
75,52
63,84
76,99
21,10
43,56
30,99
44,68
54,20
69,9
54,89
43,81
60,9
19,68
83,69
92,83
38,13
23,71
85,56
6,57
97,57
98,29
94,40
62,96
82,60
59,71
72,27
36,78
68,36
82,86
40,62
51,59
54,58
73,12
9,70
45,25
45,45
98,75
51,78
30,40
36,60
13,10
19,90
58,90
44,8
79,47
13,15
50,12
44,54
83,10
66,24
21,70
95,48
47,88
6,93
38,12
92,37
8,95
70,79
3,42
42,82
78,5
48,25
43,19
56,3
59,45
5,57
28,83
90,94
71,3
65,90
50,88
16,78
69,61
27,19
3,93
64,73
47,46
49,81
84,7
87,92
21,28
68,87
70,84
65,83
13,55
47,15
73,20
77,75
14,17
77,72
18,10
88,24
72,9
5,37
38,36
89,88
56,15
25,57
86,77
55,15
63,61
49,40
14,97
3,34
88,88
12,75
64,38
2,88
41,11
48,22
100,2
47,17
36,26
34,83
57,100
93,46
99,43
34,44
95,32
15,48
17,70
39,96
79,78
85,28
24,58
24,60
41,80
71,62
68,78
57,35
27,6
75,86
96,84
49,33
10,64
70,38
18,86
23,74
93,36
26,71
60,66
51,45
44,34
68,25
78,85
27,72
86,51
53,4
74,54
73,72
26,12
49,79
75,95
30,10
71,94
23,89
52,85
98,55
86,52
91,21
90,96
68,78
88,24
76,87
69,100
2,79
94,15
78,38
43,33
29,100
30,6
66,65
8,9
77,81
37,33
11,84
34,4
49,85
72,49
20,32
89,92
91,15
87,14
81,65
31,17
12,64
8,88
9,97
62,10
93,64
81,46
2,61
52,14
43,29
68,81
6,90
50,30
38,58
69,64
86,80
24,13
22,24
56,32
100,11
73,76
1,9
61,14
42,50
79,12
50,22
67,30
93,20
75,90
78,3
73,85
87,61
40,17
13,45
16,85
19,88
80,46
74,87
68,73
71,5
7,13
5,75
47,65
34,9
63,52
7,68
76,7
32,79
67,78
36,13
36,59
87,7
80,12
50,17
47,18
25,34
87,24
11,75
13,63
58,10
11,44
21,79
32,64
54,81
77,10
89,41
73,94
19,16
96,60
37,60
7,61
32,49
70,4
5,30
32,2
76,66
35,43
42,88
69,50
69,58
65,50
29,13
74,58
92,21
30,98
49,80
5,24
36,27
62,94
31,70
5,37
88,82
80,90
38,40
71,86
17,27
98,77
86,76
11,34
43,79
69,70
43,65
83,9
92,60
80,15
98,45
27,63
64,72
59,13
91,43
49,38
49,11
49,12
35,47
48,64
89,26
62,83
35,88
41,11
82,20
56,83
15,66
98,59
92,18
86,92
89,26
29,80
79,37
11,32
13,54
26,18
51,43
76,7
4,99
14,17
46,3
11,58
4,70
61,69
14,39
36,52
37,97
30,86
22,85
68,100
36,78
56,89
51,32
48,5
88,32
74,28
33,60
80,18
83,73
16,37
51,88
14,41
12,74
47,14
84,18
75,63
67,23
15,15
21,79
82,93
51,16
61,69
35,29
30,93
89,76
38,71
12,5
54,87
86,86
73,48
74,55
48,64
39,45
65,67
52,3
8,33
14,83
55,64
5,67
62,3
84,93
9,72
9,26
36,97
58,43
33,30
65,55
47,6
11,22
79,65
35,76
16,31
62,42
92,54
3,50
60,72
82,7
75,42
98,5
98,85
93,82
54,31
93,32
60,30
72,65
78,100
64,75
80,71
21,76
40,3
63,56
40,90
88,11
77,21
88,35
44,61
39,49
60,82
92,95
7,83
40,22
49,78
24,94
42,15
46,65
1,54
60,54
15,3
89,91
88,14
17,14
42,62
78,6
4,75
56,31
20,43
9,14
88,60
30,52
47,36
76,17
14,60
87,87
97,39
3,90
26,36
83,18
17,71
62,76
47,17
34,3
88,19
42,63
77,51
21,75
95,8
97,62
23,26
96,85
80,70
48,51
34,40
48,87
80,26
7,29
38,59
4,34
92,41
16,18
68,60
33,33
41,17
69,14
95,17
11,79
81,65
50,41
3,90
58,87
3,14
22,55
29,48
65,28
27,61
27,78
91,44
85,34
10,40
61,99
4,16
50,40
23,61
8,19
16,45
