S_i,A_i
90,90
93,50
62,88
75,2
95,24
46,25
71,21
52,6
94,90
44,57
76,89
39,26
99,26
82,25
88,2
86,98
3,74
1,1
13,15
40,10
53,52
74,47
65,54
21,36
80,68
94,22
83,79
96,48
1,1
62,20
34,78
25,40
23,25
43,74
12,69
19,58
9,19
25,52
33,81
96,93
92,2
53,50
92,52
91,80
23,80
24,22
79,27
6,22
35,46
5,50
49,23
92,98
56,66
2,94
100,29
19,55
100,16
2,15
5,8
52,4
99,75
28,30
76,78
91,100
64,99
1,32
14,5
57,82
40,93
86,77
37,76
13,17
50,7
100,50
19,42
45,14
48,85
67,40
71,63
66,7
57,94
30,61
92,1
35,17
29,95
60,78
38,83
93,49
47,53
11,67
64,49
15,83
29,3
89,66
34,34
42,86
64,47
58,92
55,74
14,51
93,54
50,76
33,17
86,85
100,69
100,78
54,56
64,100
69,13
60,73
23,81
89,11
27,8
38,78
38,23
19,42
32,36
32,54
56,74
36,49
19,69
3,39
79,36
28,77
14,75
60,36
28,84
57,35
38,38
14,80
99,95
56,59
4,64
53,56
66,64
60,98
87,46
75,45
81,100
41,56
84,97
84,83
90,64
57,66
27,55
15,94
28,16
85,52
81,52
73,35
16,37
30,36
56,66
91,52
79,73
32,6
93,97
49,1
18,56
72,71
92,9
29,94
9,56
7,44
84,73
11,15
2,33
55,53
19,54
31,83
43,28
97,32
64,37
94,97
2,35
54,57
97,63
58,65
88,34
37,63
12,79
89,23
38,59
66,16
67,5
27,36
63,100
43,9
69,18
54,8
53,58
67,72
60,77
96,19
5,90
46,49
45,49
68,59
18,15
14,56
83,100
82,2
24,15
33,44
76,28
34,1
46,41
55,90
78,99
48,56
86,91
26,55
7,56
46,47
93,7
95,22
97,63
12,27
9,53
6,67
24,4
19,65
16,6
45,23
46,20
30,3
89,98
41,24
21,20
43,79
80,47
83,9
26,25
71,60
97,34
9,52
100,28
20,66
35,98
3,30
17,10
80,50
71,47
64,54
46,87
43,3
78,20
79,43
76,54
46,87
86,71
6,48
62,54
68,77
71,46
39,80
90,41
33,72
41,36
21,24
29,13
69,47
37,73
83,55
60,26
18,31
78,88
26,36
95,19
32,94
88,53
5,2
22,53
13,9
79,19
78,25
99,12
40,48
74,99
84,70
39,74
74,52
62,6
78,79
53,47
95,87
14,19
28,7
70,15
31,31
94,90
88,44
57,71
47,41
6,34
10,36
83,58
62,42
3,77
84,100
86,84
71,98
63,41
41,53
32,19
27,5
83,9
71,97
46,41
48,68
82,96
67,87
94,58
79,1
66,70
38,92
21,25
13,37
83,58
64,50
62,51
4,47
31,51
68,64
97,91
90,7
4,48
20,99
76,43
74,64
9,38
5,27
78,75
43,80
58,1
34,6
11,74
15,83
2,11
72,58
75,70
54,94
13,18
97,77
49,83
89,33
18,93
12,28
65,38
82,34
76,83
64,30
26,50
